                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                0.70498,                0.59583,                 1.1291,                0.76985,                0.75941,                0.79192,                  0.481,                 1.6296,                 1.1079,                 2.1707,               0.000656,               0.000656,               0.000656
                     50,                0.69704,                0.61287,                 1.1583,                0.78616,                0.75185,                 0.8029,                0.49155,                 1.5668,                 1.2044,                 2.0565,             0.00064362,             0.00064362,             0.00064362
                     51,                0.65775,                 0.5737,                 1.1017,                0.73201,                0.76792,                0.77932,                0.47601,                 1.5834,                 1.1077,                 2.0704,             0.00063125,             0.00063125,             0.00063125
                     52,                 0.6776,                0.58932,                 1.1134,                0.80825,                0.76392,                0.81823,                0.50493,                  1.544,                 1.0287,                 2.0568,             0.00061887,             0.00061887,             0.00061887
                     53,                0.68102,                0.58855,                 1.1207,                0.80876,                0.76384,                0.81702,                0.51202,                 1.5282,                 1.0611,                 2.0771,              0.0006065,              0.0006065,              0.0006065
                     54,                0.69104,                0.58976,                 1.1523,                0.87207,                0.71463,                0.83408,                0.50631,                  1.549,                 1.0568,                 2.0996,             0.00059413,             0.00059413,             0.00059413
                     55,                0.66509,                0.58129,                 1.1059,                0.80333,                0.75398,                0.81271,                0.50596,                   1.52,                 1.0788,                 2.0268,             0.00058175,             0.00058175,             0.00058175
                     56,                0.66801,                0.54919,                 1.0866,                0.84003,                0.73245,                0.80682,                0.49633,                 1.5107,                 1.1165,                 2.0636,             0.00056938,             0.00056938,             0.00056938
                     57,                0.65512,                 0.5366,                 1.1043,                0.83486,                0.75779,                0.82213,                0.51059,                 1.5276,                  1.119,                 2.0554,               0.000557,               0.000557,               0.000557
                     58,                0.65945,                0.54475,                 1.1223,                0.86856,                0.75873,                0.84057,                0.50481,                 1.5313,                  1.085,                  2.109,             0.00054463,             0.00054463,             0.00054463
                     59,                0.63733,                0.54235,                 1.1037,                0.83933,                 0.7567,                  0.834,                0.50948,                 1.5153,                 1.0407,                 2.0798,             0.00053225,             0.00053225,             0.00053225
                     60,                0.64225,                0.54855,                 1.0744,                0.83343,                0.74225,                0.80308,                 0.5011,                 1.5312,                  1.077,                 2.0404,             0.00051988,             0.00051988,             0.00051988
                     61,                0.63597,                 0.5492,                  1.098,                0.83798,                0.70493,                0.77661,                0.49621,                 1.5866,                 1.2045,                 2.1342,              0.0005075,              0.0005075,              0.0005075
                     62,                0.59997,                0.48807,                 1.0295,                 0.8158,                0.77008,                0.81142,                0.51925,                 1.5077,                 1.0376,                 2.0508,             0.00049513,             0.00049513,             0.00049513
                     63,                0.58712,                0.50115,                 1.0661,                 0.8394,                0.71682,                0.78903,                0.49112,                 1.5704,                 1.1706,                 2.1451,             0.00048275,             0.00048275,             0.00048275
                     64,                0.61598,                0.53148,                 1.0955,                0.84372,                0.74399,                0.81979,                0.51675,                 1.5252,                 1.1037,                 2.0638,             0.00047038,             0.00047038,             0.00047038
                     65,                0.62727,                0.53852,                 1.0891,                0.85455,                0.70541,                 0.8088,                0.50002,                 1.5613,                 1.1266,                  2.089,               0.000458,               0.000458,               0.000458
                     66,                0.62892,                0.54543,                 1.0973,                 0.8517,                0.73303,                0.82417,                0.49153,                  1.584,                  1.108,                 2.1388,             0.00044563,             0.00044563,             0.00044563
                     67,                0.59215,                0.50088,                 1.0674,                0.78785,                0.80176,                0.82532,                0.50237,                 1.5587,                 1.0727,                 2.1107,             0.00043325,             0.00043325,             0.00043325
                     68,                0.62005,                0.51502,                 1.0698,                0.85903,                0.76977,                0.84297,                 0.5274,                 1.4998,                 1.0269,                 2.0155,             0.00042087,             0.00042087,             0.00042087
                     69,                0.59241,                0.48898,                 1.0713,                0.83185,                 0.7817,                0.83818,                0.52898,                 1.4954,                 1.0575,                 2.0278,              0.0004085,              0.0004085,              0.0004085
                     70,                0.59508,                0.48628,                 1.0468,                 0.8121,                0.77158,                0.81917,                0.51571,                 1.4904,                 1.0143,                 2.0295,             0.00039613,             0.00039613,             0.00039613
                     71,                0.59224,                0.49164,                 1.0439,                0.82679,                 0.7417,                0.80613,                0.51467,                 1.4887,                 1.0212,                 2.0388,             0.00038375,             0.00038375,             0.00038375
                     72,                0.51598,                0.45313,                 1.0173,                 0.7685,                0.81109,                 0.8287,                0.52142,                 1.5209,                 1.0806,                 2.0656,             0.00037138,             0.00037138,             0.00037138
                     73,                  0.578,                0.50269,                 1.0546,                0.79626,                0.79208,                0.83746,                0.53698,                 1.4728,                 1.0224,                 1.9992,               0.000359,               0.000359,               0.000359
                     74,                0.57826,                0.48018,                 1.0696,                0.84305,                0.73203,                0.81873,                0.50887,                 1.5134,                 1.0821,                  2.084,             0.00034663,             0.00034663,             0.00034663
                     75,                0.56633,                0.47284,                 1.0489,                0.81584,                 0.7425,                0.81118,                0.51645,                 1.5112,                 1.1128,                 2.0619,             0.00033425,             0.00033425,             0.00033425
                     76,                0.58931,                0.47305,                 1.0488,                0.81437,                0.77952,                0.82215,                 0.5296,                 1.5017,                 1.0365,                  2.059,             0.00032188,             0.00032188,             0.00032188
                     77,                0.55473,                0.45152,                 1.0308,                0.79481,                0.79543,                0.83476,                0.53114,                 1.4874,                 1.0335,                 2.0299,              0.0003095,              0.0003095,              0.0003095
